20	59.37	59.37
40	66.27	67.73
60	72.23	72.8
80	77.87	77.77
100	81.57	81.53
120	86.43	84.97
140	87.57	87.83
160	89.87	89.57
180	91.77	91.67
200	93.33	93.9
220	93	93.83
240	95.67	95.33
260	96.17	96.17
280	97.3	97.4
300	97.8	97.57
320	98.3	98
340	98.27	98.5
360	98.83	98.67
380	98.93	98.67
400	99.4	98.83
420	99.17	99.23
440	99.53	99.5
460	99.53	99.43
480	99.87	99.47
500	99.93	99.57
520	99.8	99.67
540	99.87	99.8
560	99.73	99.83
580	99.87	99.97
600	99.7	99.87
620	99.9	100
640	99.9	99.93
660	99.97	99.97
680	100	99.97
700	100	99.97
720	99.9	99.9
740	100	99.97
760	100	99.93
780	99.97	100
800	100	100
		
		
		
		
		
		
		
		
		
		
